,channel_id,video_id,number_of_views,number_of_likes,CreatedDate,CreatedDatetime
175,UCTrQ7HXWRRxr7OsOtodr2_w,m8b1y98Ffi8,15636,181,2022-05-02,2022-05-02 08:48:23
176,UCoMdktPbSTixAyNGwb-UYkQ,2kblJAvj8OE,153510,1843,2022-05-02,2022-05-02 08:48:27
177,UCupvZG-5ko_eiXAupbDfxWw,L643uai6k2w,424586,6156,2022-05-02,2022-05-02 08:48:32
178,UCqTwKvjbTENZDGbz2si47ag,-ukm0Y_VhgY,1288051,44039,2022-05-02,2022-05-02 08:48:37
179,UCfzlCWGWYyIQ0aLC5w48gBQ,q59wap1ELQ4,149488,4289,2022-05-02,2022-05-02 08:48:43
180,UCF_fDSgPpBQuh1MsUTgIARQ,yzTuBuRdAyA,1817200280,10954947,2022-05-03,2022-05-03 10:08:37
181,UCUtZaxDF3hD5VK4xRYFBePQ,oTw8AECmUNA,19282449,518995,2022-05-03,2022-05-03 10:08:40
182,UCxE5jEls-T0QtlTHT8lI1lw,x4drP6Q6p30,4211759,207216,2022-05-03,2022-05-03 10:08:44
183,UCX6OQ3DkcsbYNE6H8uQQuVA,hD1YtmKXNb4,45204134,2524370,2022-05-03,2022-05-03 10:08:48
184,UCSZwSipmufiBGjFk9q3rD-A,sPA3XIbho_A,1562988,41090,2022-05-03,2022-05-03 10:08:53
185,UCX6OQ3DkcsbYNE6H8uQQuVA,LnlKwzc_TNA,53879533,2317165,2022-05-03,2022-05-03 10:08:57
186,UCAuUUnT6oDeKwE6v1NGQxug,YRvf00NooN8,6085177,132827,2022-05-03,2022-05-03 10:09:00
187,UCbzRzJNHx7ZLlJML9BjZQVQ,b4F0YBnVdno,2738634,30184,2022-05-03,2022-05-03 10:09:06
188,UCbAwSkqJ1W_Eg7wr3cp5BUA,XKDhq2UcjIM,2101984,139098,2022-05-03,2022-05-03 10:09:09
189,UCz6PEeVLG1TL6jMRTvSLm4g,aaPorKHXem8,872889,61258,2022-05-03,2022-05-03 10:09:15
190,UC2O6HDtMOZf9FkUAepz9Atg,offDs649-mw,236877,6404,2022-05-03,2022-05-03 10:09:19
191,UC0C-w0YjGpqDXGB8IHb662A,Z_MvkyuOJgk,12443334,415712,2022-05-03,2022-05-03 10:09:24
192,UCIPPMRA040LQr5QPyJEbmXA,QO7e_RiMVQg,11472989,533386,2022-05-03,2022-05-03 10:09:28
193,UCvC4D8onUfXzvjTOM-dBfEA,tgB1wUcmbbw,36222186,1671144,2022-05-03,2022-05-03 10:09:34
194,UChmpTxQ0Gp8KEJKsqzeg9Lg,yQEondeGvKo,19362758,869182,2022-05-03,2022-05-03 10:09:40
195,UCGHZpIpAWJQ-Jy_CeCdXhMA,an0M-wcHw5A,1477678,46152,2022-05-03,2022-05-03 10:09:43
196,UCvbki_2_V6qLvezSxwo13mg,bNhGDDUnNE8,4463840,95639,2022-05-03,2022-05-03 10:09:48
197,UCJg9wBPyKMNA5sRDnvzmkdg,EUtqdkj2Mg0,1977153,22564,2022-05-03,2022-05-03 10:09:51
198,UCbOCbp5gXL8jigIBZLqMPrw,H5v3kku4y6Q,98948162,3726328,2022-05-03,2022-05-03 10:09:55
199,UComP_epzeKzvBX156r6pm1Q,X-yIEMduRXk,135623168,1126875,2022-05-03,2022-05-03 10:10:01
200,UCOhtMAg7xh8wv_wUHMgFc-Q,Tc0tLGWIqxA,57669004,1072247,2022-05-03,2022-05-03 10:10:04
201,UC9Z0p8W-IvB_2K_cAQdf7bg,4Q2YBKFDXjQ,335041,9499,2022-05-03,2022-05-03 10:10:10
202,UCuCkxoKLYO_EQ2GeFtbM_bw,UA6UythLlEI,2415229,87871,2022-05-03,2022-05-03 10:10:12
203,UC_SvYP0k05UKiJ_2ndB02IA,Rg3dBosfZ3Y,290859,8796,2022-05-03,2022-05-03 10:10:18
204,UC7cs8q-gJRlGwj4A8OmCmXg,xKdtP3IZbnU,6616,230,2022-05-03,2022-05-03 10:10:23
205,UCTrQ7HXWRRxr7OsOtodr2_w,m8b1y98Ffi8,15762,183,2022-05-03,2022-05-03 10:10:26
206,UCoMdktPbSTixAyNGwb-UYkQ,2kblJAvj8OE,153641,1843,2022-05-03,2022-05-03 10:10:29
207,UCupvZG-5ko_eiXAupbDfxWw,L643uai6k2w,428724,6201,2022-05-03,2022-05-03 10:10:34
208,UCqTwKvjbTENZDGbz2si47ag,-ukm0Y_VhgY,1324534,44610,2022-05-03,2022-05-03 10:10:39
209,UCfzlCWGWYyIQ0aLC5w48gBQ,q59wap1ELQ4,170920,4848,2022-05-03,2022-05-03 10:10:44
210,UCF_fDSgPpBQuh1MsUTgIARQ,yzTuBuRdAyA,1817558542,10957593,2022-05-04,2022-05-04 08:34:36
211,UCUtZaxDF3hD5VK4xRYFBePQ,oTw8AECmUNA,19564825,524332,2022-05-04,2022-05-04 08:34:41
